retail,gender,category,brand,description,price,link
Falabella,Hombres,Zapatillas Deportivas,Adidas,Zapatillas Running Hombre adidas Duramo...,219.0,https://www.falabella.com.pe/falabella-pe/product/19019786/Zapatillas-Running-Hombre-adidas-Duramo-10-LIGHTMOTION-PRIMEGREEN/19019787
Falabella,Hombres,Zapatillas Deportivas,Adidas,Zapatillas Running Hombre Adidas Duramo Sl 2.0...,219.0,https://www.falabella.com.pe/falabella-pe/product/18534302/Zapatillas-Running-Hombre-Adidas-Duramo-Sl-2.0-Lightmotion/18534304
Falabella,Hombres,Zapatillas Deportivas,Adidas,Zapatillas Running Hombre adidas Duramo...,219.0,https://www.falabella.com.pe/falabella-pe/product/19019794/Zapatillas-Running-Hombre-adidas-Duramo-10-LIGHTMOTION-PRIMEGREEN/19019795
Falabella,Hombres,Zapatillas Deportivas,Puma,Zapatillas Running Hombre Puma Softride Cruise,159.0,https://www.falabella.com.pe/falabella-pe/product/19128533/Zapatillas-Running-Hombre-Puma-Softride-Cruise/19128535
Falabella,Hombres,Zapatillas Deportivas,Puma,Zapatillas Running Hombre Puma Softride Cruise,159.0,https://www.falabella.com.pe/falabella-pe/product/19128503/Zapatillas-Running-Hombre-Puma-Softride-Cruise/19128505
Falabella,Hombres,Zapatillas Deportivas,Puma,Zapatillas Trail running Hombre Incinerate,199.0,https://www.falabella.com.pe/falabella-pe/product/19128593/Zapatillas-Trail-running-Hombre-Incinerate/19128597
Falabella,Hombres,Zapatillas Deportivas,Reebok,Zapatillas Training Hombre Reebok Flexagon Force 4.2,189.0,https://www.falabella.com.pe/falabella-pe/product/19020638/Zapatillas-Training-Hombre-Reebok-Flexagon-Force-4.2/19020642
Falabella,Hombres,Zapatillas Deportivas,Reebok,Zapatillas Running Hombre Stridium 2,169.0,https://www.falabella.com.pe/falabella-pe/product/18966153/Zapatillas-Running-Hombre-Stridium-2/18966160
Falabella,Hombres,Zapatillas Deportivas,New Balance,Zapatillas Running Hombre New Balance ME420CG2,269.0,https://www.falabella.com.pe/falabella-pe/product/19343345/Zapatillas-Running-Hombre-New-Balance-ME420CG2/19343353
Falabella,Hombres,Zapatillas Deportivas,New Athletic,ZAPATILLAS FUTBOL HOMBRE AGIFUG17...,209.0,https://www.falabella.com.pe/falabella-pe/product/115409660/ZAPATILLAS-FUTBOL-HOMBRE-AGIFUG17-MORADO-CON-NEGRO/115409662
