retail,gender,category,brand,count,price_mean,price_std,price_min,price_max
Falabella,Hombres,Boxers Calzoncillos,Calvin Klein,38,194.64,47.75,109.9,289.9
Falabella,Hombres,Boxers Calzoncillos,Boston,32,56.87,32.92,17.9,129.9
Falabella,Hombres,Boxers Calzoncillos,Mossimo,23,55.57,19.22,39.92,87.92
Falabella,Hombres,Boxers Calzoncillos,Newport,21,38.78,4.59,31.92,47.92
Falabella,Hombres,Boxers Calzoncillos,Palmers,21,65.64,13.25,34.9,89.9
Falabella,Hombres,Boxers Calzoncillos,Benetton,18,46.03,13.32,34.9,79.92
Falabella,Hombres,Boxers Calzoncillos,Denimlab,17,50.74,13.14,34.9,79.92
Falabella,Hombres,Boxers Calzoncillos,Bearcliff,16,42.42,15.1,31.92,79.92
Falabella,Hombres,Boxers Calzoncillos,Fila,15,55.77,33.02,19.9,119.9
Falabella,Hombres,Boxers Calzoncillos,Basement,13,35.3,13.45,27.92,79.92
Falabella,Hombres,Boxers Calzoncillos,Clover,11,26.75,7.96,13.0,39.0
Falabella,Hombres,Boxers Calzoncillos,Jockey,10,61.18,13.18,35.0,75.0
Falabella,Hombres,Boxers Calzoncillos,Unno Underwear,7,69.17,23.44,25.0,90.99
Falabella,Hombres,Boxers Calzoncillos,John Holden,6,71.57,27.14,29.9,99.9
Falabella,Hombres,Boxers Calzoncillos,Ecko,5,63.92,14.96,47.92,79.92
Falabella,Hombres,Boxers Calzoncillos,Kayser,5,19.5,5.5,13.9,24.9
Falabella,Hombres,Boxers Calzoncillos,La Martina,4,89.9,34.64,59.9,139.9
Falabella,Hombres,Boxers Calzoncillos,Generico,3,91.67,23.67,78.0,119.0
Falabella,Hombres,Boxers Calzoncillos,Starter,3,90.59,48.88,47.92,143.92
Falabella,Hombres,Boxers Calzoncillos,Superdry,3,86.26,32.33,48.93,104.93
Falabella,Hombres,Boxers Calzoncillos,Diesel,2,239.0,14.14,229.0,249.0
Falabella,Hombres,Boxers Calzoncillos,Reebok,2,149.0,0.0,149.0,149.0
Falabella,Hombres,Boxers Calzoncillos,Supra,2,71.2,7.5,65.9,76.5
Falabella,Hombres,Boxers Calzoncillos,Tommy Hilfiger,2,179.0,14.14,169.0,189.0
Falabella,Hombres,Boxers Calzoncillos,Billabong,1,139.0,0.0,139.0,139.0
Falabella,Hombres,Boxers Calzoncillos,Cc Group,1,29.99,0.0,29.99,29.99
Falabella,Hombres,Boxers Calzoncillos,Lancaster,1,26.9,0.0,26.9,26.9
Falabella,Hombres,Boxers Calzoncillos,Levis,1,99.0,0.0,99.0,99.0
Falabella,Hombres,Boxers Calzoncillos,Mlb,1,23.96,0.0,23.96,23.96
Falabella,Hombres,Boxers Calzoncillos,Norton,1,40.5,0.0,40.5,40.5
Falabella,Hombres,Boxers Calzoncillos,Oem,1,79.0,0.0,79.0,79.0
Falabella,Hombres,Boxers Calzoncillos,Wessel,1,35.0,0.0,35.0,35.0
Falabella,Hombres,Camisas,La Martina,55,224.18,19.99,114.95,279.0
Falabella,Hombres,Camisas,Basement,39,115.37,19.2,64.95,149.9
Falabella,Hombres,Camisas,Tommy Hilfiger,36,396.01,32.71,339.9,469.9
Falabella,Hombres,Camisas,Wolf&Hank,36,172.08,36.97,89.95,219.9
Falabella,Hombres,Camisas,Mango,29,220.81,53.09,99.95,279.9
Falabella,Hombres,Camisas,Pierre Cardin,26,203.83,29.43,167.3,249.0
